Amplitude,Time,Hot,Second,Third,Fourth,Fifth,Cold,Sixth,First
0.50,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80
0.50,20.00,0.80,0.02,0.01,0.01,0.00,0.00,0.00,0.65
0.50,40.00,0.80,0.04,0.02,0.01,0.01,0.00,0.00,0.75
0.50,60.00,0.80,0.05,0.03,0.02,0.01,0.00,0.01,0.75
0.50,80.00,0.80,0.05,0.04,0.02,0.01,0.00,0.01,0.78
0.50,100.00,0.80,0.06,0.04,0.03,0.01,0.00,0.01,0.74
0.50,120.00,0.80,0.07,0.08,0.03,0.01,0.00,0.01,0.74
0.50,140.00,0.80,0.05,0.07,0.05,0.02,0.00,0.01,0.76
0.50,170.00,0.80,0.05,0.07,0.04,0.03,0.00,0.02,0.77
0.50,200.00,0.80,0.05,0.07,0.05,0.03,0.00,0.02,0.71
0.60,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80
0.60,20.00,0.80,0.10,0.06,0.03,0.02,0.00,0.01,0.58
0.60,30.00,0.80,0.17,0.09,0.04,0.03,0.00,0.02,0.70
0.60,40.00,0.80,0.18,0.14,0.05,0.05,0.00,0.03,0.72
0.60,50.00,0.80,0.17,0.14,0.06,0.06,0.00,0.04,0.63
0.60,60.00,0.80,0.13,0.11,0.07,0.07,0.00,0.04,0.79
0.60,80.00,0.80,0.11,0.15,0.08,0.06,0.00,0.06,0.68
0.60,100.00,0.80,0.20,0.13,0.07,0.06,0.00,0.07,0.70
0.60,120.00,0.80,0.16,0.09,0.06,0.07,0.00,0.09,0.52
0.60,140.00,0.80,0.15,0.07,0.08,0.06,0.00,0.04,0.76
0.60,160.00,0.80,0.13,0.12,0.06,0.07,0.00,0.05,0.66
0.60,180.00,0.80,0.13,0.10,0.05,0.04,0.00,0.04,0.78
0.70,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.80
0.70,20.00,0.80,0.16,0.05,0.03,0.01,0.00,0.01,0.56
0.70,40.00,0.80,0.10,0.10,0.05,0.02,0.00,0.01,0.71
0.70,60.00,0.80,0.15,0.07,0.07,0.03,0.00,0.03,0.67
0.70,80.00,0.80,0.15,0.09,0.07,0.04,0.00,0.05,0.63
0.70,100.00,0.80,0.14,0.10,0.06,0.05,0.00,0.04,0.78
0.70,120.00,0.80,0.17,0.08,0.06,0.06,0.00,0.06,0.63
0.70,150.00,0.80,0.14,0.12,0.07,0.06,0.00,0.08,0.66
0.80,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.80,10.00,0.80,0.11,0.09,0.02,0.03,0.00,0.02,0.44
0.80,20.00,0.80,0.15,0.13,0.05,0.06,0.00,0.05,0.65
0.80,30.00,0.80,0.21,0.14,0.08,0.10,0.00,0.08,0.48
0.80,40.00,0.80,0.21,0.12,0.14,0.13,0.00,0.13,0.61
0.80,50.00,0.80,0.32,0.18,0.16,0.13,0.00,0.12,0.53
0.80,60.00,0.80,0.26,0.17,0.10,0.10,0.00,0.13,0.55
0.80,70.00,0.80,0.34,0.19,0.16,0.14,0.00,0.15,0.46
0.80,80.00,0.80,0.32,0.21,0.17,0.13,0.00,0.17,0.64
0.80,90.00,0.80,0.30,0.14,0.16,0.13,0.00,0.16,0.66
0.80,100.00,0.80,0.27,0.20,0.22,0.17,0.00,0.20,0.64
0.80,110.00,0.80,0.31,0.27,0.21,0.17,0.00,0.19,0.56
0.90,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.90,5.00,0.80,0.17,0.08,0.03,0.02,0.00,0.00,0.47
0.90,10.00,0.80,0.25,0.10,0.08,0.05,0.00,0.05,0.58
0.90,15.00,0.80,0.28,0.15,0.09,0.07,0.00,0.06,0.59
0.90,20.00,0.80,0.34,0.16,0.16,0.09,0.00,0.07,0.54
0.90,25.00,0.80,0.34,0.19,0.15,0.11,0.00,0.09,0.65
0.90,30.00,0.80,0.29,0.21,0.15,0.13,0.00,0.10,0.81
0.90,35.00,0.80,0.23,0.16,0.12,0.14,0.00,0.14,0.77
0.90,40.00,0.80,0.28,0.12,0.12,0.11,0.00,0.09,0.71
0.90,45.00,0.80,0.23,0.15,0.13,0.11,0.00,0.11,0.68
0.90,50.00,0.80,0.27,0.17,0.11,0.09,0.00,0.10,0.68
0.90,55.00,0.80,0.25,0.18,0.14,0.09,0.00,0.09,0.68
0.98,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.98,5.00,0.80,0.18,0.08,0.07,0.04,0.00,0.04,0.37
0.98,10.00,0.80,0.24,0.10,0.10,0.06,0.00,0.07,0.55
0.98,15.00,0.80,0.24,0.12,0.10,0.08,0.00,0.08,0.60
0.98,20.00,0.80,0.27,0.10,0.11,0.08,0.00,0.08,0.66
0.98,25.00,0.80,0.32,0.10,0.12,0.08,0.00,0.08,0.67
0.98,30.00,0.80,0.34,0.11,0.09,0.08,0.00,0.11,0.60
0.98,35.00,0.80,0.30,0.18,0.10,0.10,0.00,0.10,0.65
0.98,40.00,0.80,0.35,0.10,0.10,0.09,0.00,0.11,0.72
0.98,45.00,0.80,0.33,0.16,0.11,0.10,0.00,0.10,0.60
