Amplitude,Time,Hot,Second,Third,Fourth,Fifth,Cold,Sixth,First
0.70,0.00,413,0,0,0,0,0,0,413
0.70,20.00,413,96,26,14,5,0,6,289
0.70,40.00,413,52,54,28,9,0,6,366
0.70,60.00,413,79,34,24,18,0,18,346
0.70,80.00,413,79,46,34,22,0,24,325
0.70,100.00,413,72,50,29,24,0,21,402
0.70,120.00,413,90,39,29,30,0,30,325
0.70,150.00,413,74,61,35,31,0,39,340
0.80,0.00,413,0,0,0,0,0,0,413
0.80,10.00,413,57,44,10,15,0,9,227
0.80,20.00,413,77,68,24,33,0,25,335
0.80,30.00,413,108,72,41,50,0,40,248
0.80,40.00,413,108,62,72,67,0,67,315
0.80,50.00,413,165,93,83,67,0,62,273
0.80,60.00,413,134,88,52,52,0,67,284
0.80,70.00,413,175,98,83,72,0,77,237
0.80,80.00,413,165,108,88,67,0,88,330
0.80,90.00,413,155,72,83,67,0,83,340
0.80,100.00,413,139,103,113,88,0,103,330
0.80,110.00,413,160,139,108,88,0,98,289
0.90,0.00,413,0,0,0,0,0,0,413
0.90,5.00,413,88,43,15,11,0,2,242
0.90,10.00,413,129,52,41,23,0,26,299
0.90,15.00,413,144,77,46,38,0,30,304
0.90,20.00,413,175,83,83,48,0,38,279
0.90,25.00,413,175,98,77,57,0,48,335
0.90,30.00,413,150,108,77,67,0,51,418
0.90,35.00,413,119,83,62,72,0,72,397
0.90,40.00,413,144,62,62,57,0,46,366
0.90,45.00,413,119,77,67,57,0,55,351
0.90,50.00,413,139,88,57,46,0,52,351
0.90,55.00,413,129,93,72,46,0,46,351
0.98,0.00,413,0,0,0,0,0,0,413
0.98,5.00,413,93,43,39,20,0,21,191
0.98,10.00,413,124,52,50,32,0,36,284
0.98,15.00,413,124,62,51,42,0,38,309
0.98,20.00,413,139,52,56,39,0,43,340
0.98,25.00,413,165,52,59,40,0,40,346
0.98,30.00,413,175,57,46,38,0,56,309
0.98,35.00,413,155,93,48,52,0,51,335
0.98,40.00,413,181,52,53,45,0,56,371
0.98,45.00,413,170,83,56,50,0,48,309
0.75,0.00,413,0,0,0,0,0,0,413
0.75,5.00,413,50,16,8,1,0,0,335
0.75,10.00,413,51,29,13,5,0,4,382
0.75,15.00,413,84,38,20,12,0,5,351
0.75,20.00,413,88,56,23,18,0,7,351
0.75,25.00,413,77,73,26,27,0,16,377
0.75,30.00,413,108,56,32,27,0,7,371
0.75,35.00,413,83,67,40,35,0,12,382
0.75,40.00,413,77,83,44,36,0,13,377
0.75,45.00,413,103,77,62,51,0,15,340
0.50,0.00,206,0,0,0,0,0,0,206
0.50,10.00,206,11,2,2,0,0,0,186
0.50,20.00,206,16,5,0,1,0,0,191
0.50,40.00,206,26,9,6,1,0,1,175
0.50,60.00,206,23,12,6,2,0,4,196
0.50,120.00,206,34,19,4,8,0,2,181
0.50,180.00,206,44,32,13,15,0,3,160
0.50,240.00,206,44,25,22,15,0,6,191
0.50,300.00,206,45,32,20,24,0,5,139
0.50,360.00,206,52,36,20,24,0,9,175
0.50,420.00,206,54,44,32,21,0,4,170
0.50,480.00,206,58,44,45,29,0,13,175
0.50,540.00,206,68,53,34,40,0,10,181
0.50,570.00,206,51,52,36,41,0,5,217
0.50,600.00,206,56,56,26,46,0,7,186
0.50,660.00,206,67,57,33,38,0,15,165
0.50,720.00,206,75,53,41,37,0,9,175
0.50,780.00,206,76,68,36,30,0,17,165
0.6,0.00,258,0,0,0,0,0,0,258
0.6,10.00,258,26,9,1,5,0,0,206
0.6,20.00,258,38,20,10,7,0,0,211
0.6,30.00,258,59,25,14,8,0,7,217
0.6,40.00,258,59,28,21,11,0,3,242
0.6,50.00,258,63,34,27,10,0,1,242
0.6,60.00,258,61,44,27,12,0,7,258
0.6,80.00,258,61,51,25,17,0,1,237
0.6,100.00,258,75,55,26,19,0,8,227
0.6,120.00,258,67,70,27,28,0,14,217
0.6,140.00,258,100,67,43,28,0,28,206
0.6,160.00,258,113,108,67,34,0,11,222
0.6,190.00,258,88,108,88,72,0,23,263
0.6,220.00,258,77,67,57,62,0,25,170
0.6,250.00,258,134,62,42,59,0,33,160
0.6,270.00,258,113,88,67,62,0,19,263
0.6,290.00,258,129,56,52,50,0,35,150
0.6,300.00,258,144,58,36,43,0,14,232
0.6,310.00,258,124,72,58,37,0,15,253
0.6,320.00,258,108,85,40,38,0,13,248
0.7,0.00,309,0,0,0,0,0,0,309
0.7,10.00,309,60,38,12,13,0,0,181
0.7,20.00,309,103,43,27,24,0,12,232
0.7,30.00,309,108,66,37,28,0,15,242
0.7,40.00,309,98,74,53,43,0,19,253
0.7,50.00,309,124,98,44,52,0,29,237
0.7,60.00,309,160,113,65,55,0,52,217
0.7,70.00,309,113,98,72,88,0,56,299
0.7,75.00,309,113,98,56,60,0,23,263
0.7,80.00,309,155,129,67,83,0,22,222
0.7,85.00,309,170,129,72,50,0,11,294
0.7,95.00,309,139,160,48,58,0,22,273
0.7,105.00,309,129,155,77,62,0,23,284
0.7,125.00,309,139,150,88,83,0,40,268
0.7,145.00,309,113,93,88,62,0,67,248
